"Year","Month","Day","Shift","Article Name","Article Number","MachineName","Group","Count","Length [km]","Prod [kg]","Speed [m/min]","A1 tot [/100km]","A2 tot [/100km]","A3 tot [/100km]","A4 tot [/100km]","B1 tot [/100km]","B2 tot [/100km]","B3 tot [/100km]","B4 tot [/100km]","C1 tot [/100km]","C2 tot [/100km]","C3 tot [/100km]","C4 tot [/100km]","D1 tot [/100km]","D2 tot [/100km]","D3 tot [/100km]","D4 tot [/100km]","E tot [/100km]","F tot [/100km]","G tot [/100km]","H1 tot [/100km]","H2 tot [/100km]","I1 tot [/100km]","I2 tot [/100km]"
"2021","12","1","3","30 RAYON","R25-18/09/2021","14","11","30.0 NeC","13668.5368652344","269.065690364473","1343.05915515789","255.213856054532","48.5055574372649","13.4542564294314","7.60871489211999","19.1461604544981","7.98915063672598","3.46781813352392","2.28993053964765","4.66033787142349","2.75815914839349","1.73390906676196","1.58027155451723","1.50711083440069","0.93645721749169","0.907192929445075","1.3461572501443","2.02655194722811","5.1505146962043","0.0512125040815768","14.8882065437155","0","0.087792864139846","0.00731607201165383"
"2021","12","1","3","30 RAYON ","R25 - 14/10/2021","41","20","30.0 NeC","10493.8538513184","206.571929309453","1326.71811815782","254.29170615567","49.7052853403775","13.8366706890775","6.62292433120444","18.5155999647917","7.25186390798068","2.79211054538547","1.82964240516727","3.77363746065749","1.96305383054405","0.952938752691286","0.724233452045377","0.705174676991551","0.571763251614771","0.581292639141684","0.705174676991551","0.914821202583634","1.42940812903693","0.0476469376345643","9.37691732648225","0","0.0476469376345643","0"
"2021","12","1","3","30 RAYON ","R25 - 14/10/2021_1","41","21","30.0 NeC","3439.8811340332","67.7141965687999","1327.93434760393","271.579151604191","52.3564602910671","14.2446782579805","6.19207442642825","19.2448510342512","7.32583453267568","2.99428951137141","1.86052940512398","3.37220954678722","1.65703400143855","0.930264702561991","0.78491084278668","0.639556983011369","0.494203123236058","0.494203123236058","0.639556983011369","0.988406246472116","1.33725550993286","0.0290707719550622","11.2503887466091","0","0.0290707719550622","0"
