"Year","Month","Day","Shift","Article Name","Article Number","Lot","MachineName","Group","Clearer Type","Count","Length [km]","Prod [kg]","PEF [%]","AEF [%]","YF [/100km]","YJ [/100km]","YB [/100km]","N [/100km]","S [/100km]","L [/100km]","T [/100km]","C [/100km]","C+ [/100km]","C- [/100km]","CC [/100km]","CC+ [/100km]","CC- [/100km]","J [/100km]","J+ [/100km]","J- [/100km]","PF [/100km]","PC [/100km]","FD [/100km]","PP [/100km]","FL [/100km]"
"2021","12","1","3","30 RAYON","R25-18/09/2021","R 25 - 29/11/21","14","11","Q3-C","30.0 NeC","13668.5368652344","269.065690364473","75.72033709147","75.72033709147","57.9798706923566","87.7635998517994","34.6123366871343","14.5516672311795","24.1284054944343","6.46740765830199","5.77238081719487","2.18018945947284","1.03888222565484","1.141307233818","4.40427535101561","3.29954847725588","1.10472687375973","5.7358004571366","5.41389328862383","0.321907168512769","0.475544680757499","","","",""
"2021","12","1","3","30 RAYON ","R25 - 14/10/2021","R25 - 18/10/2021","41","20","Q3-C","30.0 NeC","10493.8538513184","206.571929309453","81.7895261123357","78.4685846560847","46.9036454074651","74.9295741241158","32.8573281927955","13.8080825264967","18.3631297643611","3.71646113549601","4.99339906410234","3.62116726022689","1.61999587957519","2.0011713806517","2.34422933162056","1.32458486624089","1.01964446537968","2.296582393986","2.12505341850157","0.171528975484431","0.0571763251614771","","","",""
"2021","12","1","3","30 RAYON ","R25 - 14/10/2021_1","R25 - 18/10/2021","41","21","Q3-C","30.0 NeC","3439.8811340332","67.7141965687999","81.2449360438676","77.0952380952381","47.181862883066","73.8979023097682","32.2976276420741","13.8376874506096","16.7156938741608","3.9245542139334","5.63972975928207","4.50596965303464","2.00588326489929","2.50008638813535","2.50008638813535","1.83145863316892","0.668627754966431","2.20937866858473","2.18030789662967","0.0290707719550622","0.0581415439101245","","","",""
