"Year","Month","Day","Shift","Article Name","Article Number","MachineName","Group","Count","Length [km]","Prod [kg]","Speed [m/min]","A1 tot [/100km]","A2 tot [/100km]","A3 tot [/100km]","A4 tot [/100km]","B1 tot [/100km]","B2 tot [/100km]","B3 tot [/100km]","B4 tot [/100km]","C1 tot [/100km]","C2 tot [/100km]","C3 tot [/100km]","C4 tot [/100km]","D1 tot [/100km]","D2 tot [/100km]","D3 tot [/100km]","D4 tot [/100km]","E tot [/100km]","F tot [/100km]","G tot [/100km]","H1 tot [/100km]","H2 tot [/100km]","I1 tot [/100km]","I2 tot [/100km]"
"2021","12","8","3","30 RAYON","R 25 - 02/12/2021","15","15","30.0 NeC","13862.9307250977","272.892341206653","1365.57053957176","297.952870277428","46.1951381492954","8.85094230312078","3.95298808647937","18.1996148580063","6.20359444228514","2.46701081309479","1.47876379147495","9.78148146946355","2.81325794475721","1.07480880453545","0.764629082421192","3.99626897793717","0.930539166342771","0.497730251764738","0.541011143222541","0.944966130162039","1.49319075529421","0.0288539276385355","18.3871653876568","0.00721348190963388","0.0793483010059727","0"
"2021","12","8","3","30 RAYON","R 25 - 05/12/2021","17","13","30.0 NeC","14174.3493652344","279.022629490389","1331.59791555679","263.765193284283","50.7113223667966","12.9741404886671","6.1519578608579","23.5566368089502","9.32670675694283","3.88024865077047","2.32109419291542","5.58050305956262","2.73733904817989","1.76374938671385","1.75669438916699","1.57326445294875","0.952424668825478","1.23462457069969","1.62264943577674","2.6879540653519","2.32109419291542","0.0211649926405662","17.905583773919","0","0.0705499754685539","0"
"2021","12","8","3","30 RAYON","R 25 - 24/09/2021","19","5","30.0 NeC","14038.5412597656","276.34924154731","1330.19460000148","222.86503576884","44.0929002911472","11.7676044072658","5.00051954836596","19.6387925852492","7.08763098379506","2.91340811293686","1.99450922157047","4.55175497351261","2.06574169376941","1.20382878016218","1.42464944397891","0.904652396926606","0.733694463649137","0.869036160827133","1.78793505219353","2.25094612148667","2.3506715825652","0.128218449958102","12.8930774680091","0.0284929888795781","0.0427394833193672","0"
"2021","12","8","3","30 RAYON","R25 -  14/09/2021","18","5","30.0 NeC","14117.1459960938","277.896578899843","1332.43263698755","237.64010097567","49.4434215097822","14.9888653172921","7.41651322646733","24.5800390600207","9.68326034439431","4.26431801560013","2.58550843138546","6.63023531993641","3.0530250244579","1.74964543164989","1.58672298254888","1.40254977921732","1.16170789793758","1.12628997421997","1.4308841181914","2.60675918561603","2.48633824497615","0.0283343389740872","16.9297675370171","0","0.0425015084611308","0"
"2021","12","8","3","30 RAYON","R25 - 02/12/21","44","5","30.0 NeC","14379.4703674316","283.060444554914","1291.87669227541","226.614744266276","49.4246298257049","15.1883201828253","7.09344623923161","20.5849028118878","9.13802780230424","4.04743697179686","2.25321233481475","4.93759493122984","2.17671438517597","1.29351078480106","0.973610268129828","0.862340523200705","0.799751291678073","0.431170261600352","0.514622570297195","1.22396719422036","2.17671438517597","0.159950258335615","6.98217649430248","0","0.0208630771742106","0"
"2021","12","8","3","30 RAYON ","R 25 - 08/12/2021","16","6","30.0 NeC","14706.1815795898","289.491767725483","1340.63265054946","244.754219885023","45.2530792169481","10.4785867878763","4.86870093453566","19.0056132849542","7.18745375391647","3.10753676966871","1.82236291963067","4.53550771415543","2.38675143578494","1.3123732965997","0.890781874894094","1.00637952278111","0.666386440760468","0.802383673568726","0.639186994198816","1.55716831565456","1.99235946064099","0.0679986164041294","12.3689483239111","0.00679986164041294","0.0407991698424776","0"
