"Year","Month","Day","Shift","Article Name","Article Number","Lot","MachineName","Group","Clearer Type","Count","Length [km]","Prod [kg]","PEF [%]","AEF [%]","YF [/100km]","YJ [/100km]","YB [/100km]","N [/100km]","S [/100km]","L [/100km]","T [/100km]","C [/100km]","C+ [/100km]","C- [/100km]","CC [/100km]","CC+ [/100km]","CC- [/100km]","J [/100km]","J+ [/100km]","J- [/100km]","PF [/100km]","PC [/100km]","FD [/100km]","PP [/100km]","FL [/100km]"
"2021","12","8","3","30 RAYON","R 25 - 02/12/2021","R25 - 02/12/2021","15","15","Q3-C","30.0 NeC","13862.9307250977","272.892341206653","75.6948371101735","75.5338541666667","53.8991368287844","79.6656942099966","36.9330273773255","7.88433572722983","22.9244455088165","3.71494318346145","6.00161694881539","5.27305527594237","3.0440893658655","2.22896591007687","5.35240357694834","3.960201568389","1.39220200855934","5.38125750458688","5.03501037292445","0.346247131662426","2.74833660757051","","","",""
"2021","12","8","3","30 RAYON","R 25 - 05/12/2021","R25 - 05/12/2021","17","13","Q3-C","30.0 NeC","14174.3493652344","279.022629490389","79.1900182514333","79.1900182514333","59.0714944598202","91.0517983397157","34.8446328839188","12.2756957315284","25.0664062839772","6.62464269649721","8.51538203905446","2.21526922971259","1.34750453144938","0.867764698263213","4.00723860661386","3.17474889608493","0.832489710528936","3.24529887155348","2.97015396722612","0.27514490432736","0.36685987243648","","","",""
"2021","12","8","3","30 RAYON","R 25 - 24/09/2021","R25 - 04/12/2021","19","5","Q3-C","30.0 NeC","14038.5412597656","276.34924154731","78.7719671439821","78.5249255952381","52.9969593160153","81.1195393401589","33.2014552919284","10.5281593910041","19.1544117742964","6.6459896561616","7.72872323358557","2.58573874082172","1.55286789393701","1.03287084688471","4.88654759284765","3.52600737384779","1.36054021899986","2.27943911036625","1.80930479385321","0.470134316513039","1.46738892729827","","","",""
"2021","12","8","3","30 RAYON","R25 -  14/09/2021","R25 - 04/12/2021","18","5","Q3-C","30.0 NeC","14117.1459960938","277.896578899843","78.8319692460317","78.8319692460317","61.2800916162072","89.7065171919602","32.7757466082754","14.7763577749865","25.8409171443676","6.44606211660484","6.72940550634572","2.5996756008725","1.79214694011102","0.807528660761486","4.44849121893169","3.58429388022203","0.864197338709661","3.76138349881008","3.67638048188782","0.0850030169222617","0.439182254098352","","","",""
"2021","12","8","3","30 RAYON","R25 - 02/12/21","R25- 02/12/21","44","5","Q3-C","30.0 NeC","14379.4703674316","283.060444554914","79.5561188813271","70.2694654882155","52.5193196065462","77.861004014154","32.5533547508266","14.1451663241148","18.2482381683762","5.20186057543651","3.70667337795142","5.87643340406932","3.89444107251931","1.98199233155001","4.26302210259703","2.92083080438948","1.34219129820755","2.47575182467299","2.30189284822124","0.173858976451755","1.07792565400088","","","",""
"2021","12","8","3","30 RAYON ","R 25 - 08/12/2021","R-25 07/12/21","16","6","Q3-C","30.0 NeC","14706.1815795898","289.491767725483","81.6075892237189","81.6075892237189","47.7146291307776","76.2060494041078","33.938109447301","9.76460131563298","17.8768362526456","5.42628958904952","4.90270024273773","2.95793981357963","1.77476388814778","1.18317592543185","6.18787409277577","4.41991006626841","1.76796402650736","3.98471892128198","3.68552500910381","0.299193912178169","0.598387824356338","","","",""
