"Year","Month","Day","Shift","Article Name","Article Number","MachineName","Group","Count","Length [km]","Prod [kg]","Speed [m/min]","A1 tot [/100km]","A2 tot [/100km]","A3 tot [/100km]","A4 tot [/100km]","B1 tot [/100km]","B2 tot [/100km]","B3 tot [/100km]","B4 tot [/100km]","C1 tot [/100km]","C2 tot [/100km]","C3 tot [/100km]","C4 tot [/100km]","D1 tot [/100km]","D2 tot [/100km]","D3 tot [/100km]","D4 tot [/100km]","E tot [/100km]","F tot [/100km]","G tot [/100km]","H1 tot [/100km]","H2 tot [/100km]","I1 tot [/100km]","I2 tot [/100km]"
"2021","12","13","3","30 RAYON","R 25 - 02/12/2021","15","15","30.0 NeC","13619.1158447266","268.092835615456","1369.71668672585","311.708927980355","50.583313032523","9.93456561663575","4.6625640551099","21.4184241712686","7.09297146021444","2.863622018099","1.94579444819547","10.4852621585779","3.39229069836343","1.63006176414866","1.02796687829195","4.28809040658927","1.16747666891728","0.712234194245135","0.602094885856712","1.16013404835805","1.99719279211007","0.0513983439145974","19.6341673753762","0.0146852411184564","0.110139308388423","0"
"2021","12","13","3","30 RAYON","R 25 - 05/12/2021","17","13","30.0 NeC","13211.0910644531","260.060851631177","1313.79564402689","273.111432083627","66.7696555641384","21.4213949945031","10.39278280122","32.4954235729335","14.275883731319","5.79058910628793","3.45921466872364","9.25737317253614","4.51893032216196","2.00589034400824","1.74853082817322","2.2935274499415","1.71068384055042","1.15054842373303","1.53658769748556","2.80824648161153","2.88394045685713","0.0529857826719157","21.2548682489628","0.0302775900982376","0.0832633727701533","0"
"2021","12","13","3","30 RAYON","R25 -  14/09/2021","18","5","30.0 NeC","12534.2497558594","246.737203624113","1312.08387188501","268.416543912191","73.8376861820035","25.3784635056675","11.624150055881","35.9973679149865","16.2993401264001","6.07934271968521","3.67792256400903","10.2199974067149","4.96240311239397","2.46524527609282","1.75519081145767","2.21792293447833","1.74721267140559","1.23661170807245","1.57169359025983","2.63278621718651","3.21519044098837","0.0558469803645623","16.6982471290041","0","0.0558469803645623","0.00797814005208033"
"2021","12","13","3","30 RAYON","R25 - 02/12/21","44","5","30.0 NeC","14218.0720825195","279.88331291444","1314.3887848131","280.108299978056","90.6170676672846","35.1876117307843","18.9055167564158","36.7912046699446","19.4400477361359","8.84086107247569","4.92331165531661","10.4936871281891","5.37344300665985","2.51792224657621","1.61765954388974","2.15922382597457","1.12532837835808","0.752563353026968","0.773663260121182","1.33632744930022","2.31395647799881","0.0281332094589521","10.2193883359643","0","0.014066604729476","0"
"2021","12","13","3","30 RAYON ","R 25 - 08/12/2021","16","6","30.0 NeC","13768.9249572754","271.041833938266","1331.8837056996","257.63086159647","54.7827809607919","15.5059309759102","7.93816513192968","24.6932858632762","10.8940967043866","4.59004607811488","2.86151606768554","6.64539898967581","3.80567111539904","1.96093740678958","1.46707168952406","1.70674181702056","1.31455433566265","0.893315929759699","0.777112231579576","1.85199643974572","3.2464408179072","0.0653645802263194","17.3942410713372","0.00726273113625772","0.0581018490900617","0"
