"Year","Month","Day","Shift","Article Name","Article Number","MachineName","Group","Count","Length [km]","Prod [kg]","Speed [m/min]","A1 tot [/100km]","A2 tot [/100km]","A3 tot [/100km]","A4 tot [/100km]","B1 tot [/100km]","B2 tot [/100km]","B3 tot [/100km]","B4 tot [/100km]","C1 tot [/100km]","C2 tot [/100km]","C3 tot [/100km]","C4 tot [/100km]","D1 tot [/100km]","D2 tot [/100km]","D3 tot [/100km]","D4 tot [/100km]","E tot [/100km]","F tot [/100km]","G tot [/100km]","H1 tot [/100km]","H2 tot [/100km]","I1 tot [/100km]","I2 tot [/100km]"
"2021","12","10","3","30 RAYON","R 25 - 02/12/2021","15","15","30.0 NeC","13891.1323852539","273.447492005468","1368.05881338736","360.208214940898","54.2000449725207","9.66083946780751","4.19692206388359","21.8988626386516","6.75970809260153","2.38281509973494","1.64133487232497","10.6974720187496","2.66356974894842","1.00063836514549","0.892655807755687","5.44232089244596","1.01503603946413","0.604702321382884","0.712684878772685","1.22380231708441","2.31082672814174","0.0215965114779602","18.5586021967271","0","0.00719883715932005","0"
"2021","12","10","3","30 RAYON","R 25 - 05/12/2021","17","13","30.0 NeC","13500.5255432129","265.75838082619","1329.72766693223","303.062276124274","56.7237177211216","14.9105306571713","7.52563295960558","28.3322303843419","10.584773129209","4.18502226592239","2.61471302631965","6.64418579209272","3.56282426532508","2.11102893059802","1.63697331109531","1.77770857313518","1.5851234777122","1.34809566796084","1.72585873975207","3.0961757648771","3.05914016960345","0.118513904875678","21.9324795210552","0.0074071190547299","0.0518498333831093","0"
"2021","12","10","3","30 RAYON","R 25 - 24/09/2021","19","5","30.0 NeC","15017.800567627","295.625999865584","1358.83717964947","264.759142465312","47.2838879969362","10.0747109617469","4.60120639429417","20.1028105707295","6.83855132697556","2.50369551990537","1.37836428888407","3.97528251431783","1.74459634631704","0.912250761242115","0.679193997421137","0.759099173588329","0.499407351044954","0.472772292322556","0.472772292322556","1.20523640718849","1.59810352334385","0.0199762940417981","11.186724663407","0","0.0133175293611988","0"
"2021","12","10","3","30 RAYON","R25 -  14/09/2021","18","5","30.0 NeC","14932.9953918457","293.956606616472","1360.43699487052","286.359158882153","51.0011541566455","11.8931262844278","5.02243508632933","25.2528036140639","8.88636181274536","3.22105503536588","1.95540139361088","4.82153768287615","2.27014065902086","1.29243996221541","1.19868784060393","0.904038315539279","0.750016972891846","0.99779043715076","1.29243996221541","1.99558087430152","1.68753818900665","0.0200897403453173","16.8485955696061","0","0.00669658011510577","0.00669658011510577"
"2021","12","10","3","30 RAYON","R25 - 02/12/21","44","5","30.0 NeC","13579.6341705322","267.315637292871","1251.74839338026","340.369993915591","95.3707576902452","34.1835423672394","16.5615654424648","36.4148248612665","18.7781199992375","8.05618167810426","4.58038848608853","9.34487618785585","4.45520101942694","2.14291487050122","1.56852531758337","1.65689294110919","1.08986735681849","0.743760831342349","0.692213050952285","2.0692751842297","2.67312061165617","0.103095560780128","8.50538376436053","0","0.00736396862715197","0"
"2021","12","10","3","30 RAYON ","R 25 - 08/12/2021","16","6","30.0 NeC","14723.1825866699","289.826433224211","1343.03747164632","297.123259475209","52.7807079363107","12.1101534230398","5.30455963174092","23.1403772923704","8.32700398017204","3.20582861226852","2.08514699992889","4.27217414643411","2.28890729308155","1.33123391526405","0.916921319186971","0.889753280099949","0.781081123751864","0.577320830599204","0.781081123751864","1.44669808138389","2.20061116604873","0.040752058630532","18.100706041728","0","0.040752058630532","0"
