"Year","Month","Day","Shift","Article Name","Article Number","Lot","MachineName","Group","Clearer Type","Count","Length [km]","Prod [kg]","PEF [%]","AEF [%]","YF [/100km]","YJ [/100km]","YB [/100km]","N [/100km]","S [/100km]","L [/100km]","T [/100km]","C [/100km]","C+ [/100km]","C- [/100km]","CC [/100km]","CC+ [/100km]","CC- [/100km]","J [/100km]","J+ [/100km]","J- [/100km]","PF [/100km]","PC [/100km]","FD [/100km]","PP [/100km]","FL [/100km]"
"2021","12","15","3","30 RAYON","R 25 - 05/12/2021","R25 - 05/12/2021","17","13","Q3-C","30.0 NeC","14209.1516113281","279.7077130852","78.6743551587302","78.6743551587302","62.0304451743138","92.8486116615296","34.8648542538632","14.0050585315276","27.074100588335","6.37617237666534","8.49452545103208","2.47727668497373","1.21752518892175","1.25975149605198","3.44144403111407","2.13946622793186","1.30197780318222","3.02621867766677","2.6884082206249","0.337810457041872","0.161867510665897","","","",""
"2021","12","15","3","30 RAYON","R25 -  14/09/2021","R25 - 04/12/2021","18","5","Q3-C","30.0 NeC","14247.553894043","280.463663543696","78.7127976190476","78.7127976190476","60.4384448308725","90.2821641922555","32.8688000398299","14.6130347390403","28.4329508779311","5.94488012678539","6.85731745439117","1.61431219499485","0.786099851475754","0.828212343519098","2.54078701994842","1.82487465521157","0.715912364736847","3.21458689264192","2.91979944833851","0.294787444303408","0.435162417781221","","","",""
"2021","12","15","3","30 RAYON","R25 - 02/12/21","R25- 02/12/21","44","5","Q3-C","30.0 NeC","14385.6946661472","283.182970122021","73.6130937620774","69.4201234541892","81.4976285266865","107.287137383221","33.081475107344","27.708081483058","32.532318449752","5.59583682736119","5.53327467649629","6.56902584081532","4.46276676169675","2.10625907911856","3.2323777946869","2.04369692825365","1.18868086643325","4.33764245996694","4.14300465727611","0.194637802690824","0.326713454516741","","","",""
"2021","12","15","3","30 RAYON ","R25 - 14/10/2021","R25 - 15/12/2021","41","20","Q3-C","30.0 NeC","13173.4887695313","259.320648964118","80.1196381555077","72.5656001984127","35.0248903743071","68.083710829467","36.2774059598643","9.31416135441588","12.547928866218","2.86939934145819","4.85824227125196","3.27172252954625","1.35119863169195","1.92052389785429","1.97366092269611","1.4119266600826","0.561734262613508","2.32284708594235","2.17102701496572","0.151820070976624","0.18977508872078","","","",""
"2021","12","15","3","30 RAYON ACITEX","R 25 - 15/12/2021","R-25 15/12/2021","03","11","Q3-C","30.0 NeC","13184.689239502","259.541130659766","72.6913442460317","72.6913442460317","59.2050359185776","92.0992507249921","35.9052831204902","16.4433151257336","23.4590284519806","4.39904186943057","6.59856280414585","3.40546517133504","1.69894030819388","1.70652486314117","4.14116700122257","3.0717447536541","1.06942224756847","4.12599789132798","3.78469291869975","0.341304972628234","0.758455494729409","","","",""
