"Year","Month","Day","Shift","Article Name","Article Number","MachineName","Group","Count","Length [km]","Prod [kg]","Speed [m/min]","A1 tot [/100km]","A2 tot [/100km]","A3 tot [/100km]","A4 tot [/100km]","B1 tot [/100km]","B2 tot [/100km]","B3 tot [/100km]","B4 tot [/100km]","C1 tot [/100km]","C2 tot [/100km]","C3 tot [/100km]","C4 tot [/100km]","D1 tot [/100km]","D2 tot [/100km]","D3 tot [/100km]","D4 tot [/100km]","E tot [/100km]","F tot [/100km]","G tot [/100km]","H1 tot [/100km]","H2 tot [/100km]","I1 tot [/100km]","I2 tot [/100km]"
"2021","12","6","3","30 RAYON","R 25 - 02/12/2021","15","15","30.0 NeC","13724.522277832","270.167765432159","1365.7328222975","270.690660468428","47.3531964788112","10.9512008474616","5.35537765993633","19.3230769444233","6.75433345681766","2.88534633106774","1.88713308016804","4.73604827069199","2.04743009856069","1.318807287685","1.2678036909237","1.28966237524997","0.626615617353095","0.546467108156769","0.604756933026824","1.22408632227116","1.90170553638555","0.0510035967612984","16.0515605235915","0","0.0218586843262707","0"
"2021","12","6","3","30 RAYON","R 25 - 05/12/2021","17","13","30.0 NeC","13735.5230102539","270.384315286236","1324.25471226995","231.130623685025","48.3418068248517","14.3642145881675","7.22942984594545","22.3362444787116","9.99597903170503","4.59392772687973","2.58453937090698","6.34850234205884","3.63291590445798","1.88562168187298","1.58712558551471","1.69633147442627","1.44879812622673","1.14302163727436","1.45607851882084","3.02864331914734","2.83935311170063","0.0800843185351459","13.3886419805576","0","0.00728039259410418","0"
"2021","12","6","3","30 RAYON","R 25 - 24/09/2021","19","5","30.0 NeC","14179.1496582031","279.117123447886","1334.03318268191","208.559756493519","43.6485977593125","12.5536442093353","5.71966598526457","19.5286746155334","8.28681569998257","2.78578059701542","1.65031053089015","4.97208941998954","2.19336143208049","1.06494397506159","0.726418737955919","0.937997011146964","0.719366128849551","0.620629601360397","0.592419164934924","1.26946963914627","1.8830466314003","0.0775787001700496","11.7778572076348","0.00705260910636815","0.0282104364254726","0"
"2021","12","6","3","30 RAYON","R25 -  14/09/2021","18","5","30.0 NeC","13888.9323120117","273.404183476428","1319.79534586824","226.496891865431","55.0726278173653","17.8991440389555","8.43837361772156","27.244714820357","12.0815622274205","5.15518388249884","3.07439038802654","7.2863772193978","3.83038802442651","1.97279383212944","1.6847947325485","1.4687954078628","1.3175958805828","1.05839669095996","1.61999493514279","3.07439038802654","2.81519119840369","0.0719997748952351","13.8239567798851","0","0.028799909958094","0"
"2021","12","6","3","30 RAYON","R25 - 02/12/21","44","5","30.0 NeC","14705.7086791992","289.482458662536","1273.14437040173","220.506204137357","55.8626597276463","18.1086138593697","8.73810319537742","23.6166789085959","11.437735077529","4.92325814276518","2.79483300645924","6.38527540891782","3.20963790522813","1.69321999661399","1.10161300984525","1.10161300984525","0.775209155076285","0.584806906461057","0.544006424614937","1.36001606153734","2.24402650153661","0.217602569845975","8.07169532522412","0.00680008030768671","0.0272003212307468","0"
"2021","12","6","3","30 RAYON ","R25 - 14/10/2021","41","20","30.0 NeC","9203.2301940918","181.165951423434","1317.87241087318","278.619565730969","53.3942963108175","13.8755629607069","6.97581160593098","19.2649750425477","7.38871011220104","3.07500729669543","1.70592277590524","3.68348930593552","2.21661303366031","1.17350101782016","1.31475576996518","0.890991513530125","0.608482009240085","0.64107925973509","0.673676510230095","0.673676510230095","1.05397776600515","0.0543287508250076","10.1594764042764","0","0.0217315003300031","0"
"2021","12","6","3","30 RAYON ","R25 - 14/10/2021_1","41","21","30.0 NeC","5018.32214355469","98.7858704512269","1316.94328783118","296.752571357473","55.5763444477566","13.7695424931516","7.19363942116893","20.1461757750742","7.13385848415091","3.12853570394328","1.69379321551069","3.56692924207545","1.93291696358279","1.29525363539053","1.01627592930641","0.677517286204276","0.63766332819226","0.617736349186252","0.896714055270366","0.896714055270366","1.49452342545061","0.0199269790060081","11.1989622013766","0","0","0"
