"Year","Month","Day","Shift","Article Name","Article Number","Lot","MachineName","Group","Clearer Type","Count","Length [km]","Prod [kg]","PEF [%]","AEF [%]","YF [/100km]","YJ [/100km]","YB [/100km]","N [/100km]","S [/100km]","L [/100km]","T [/100km]","C [/100km]","C+ [/100km]","C- [/100km]","CC [/100km]","CC+ [/100km]","CC- [/100km]","J [/100km]","J+ [/100km]","J- [/100km]","PF [/100km]","PC [/100km]","FD [/100km]","PP [/100km]","FL [/100km]"
"2021","12","7","3","30 RAYON","R 25 - 02/12/2021","R25 - 02/12/2021","15","15","Q3-C","30.0 NeC","13627.7162780762","268.262135487085","74.7318948412698","74.7318948412698","62.5783500770379","85.2307148387424","36.8146789794206","9.19449726155353","27.4073801052693","4.38811601149961","6.04650099243424","5.13659064891258","2.76642096377149","2.37016968514109","6.65555388366245","4.52019977104307","2.13535411261937","5.73830555349949","5.18795655540171","0.550348998097777","3.74971117370619","","","",""
"2021","12","7","3","30 RAYON","R 25 - 05/12/2021","R25 - 05/12/2021","17","13","Q3-C","30.0 NeC","13712.721496582","269.935466585166","77.1251240079365","77.1251240079365","67.0836930677322","95.6775794160937","35.0185774661648","13.6369720661658","27.4927190852647","9.16667052789861","5.87775373547039","3.50769174536136","2.00543706855379","1.50225467680757","7.19769595150034","5.02453141903114","2.1731645324692","5.00265392373783","4.28798907748957","0.714664846248261","0.204189956070932","","","",""
"2021","12","7","3","30 RAYON","R 25 - 24/09/2021","R25 - 04/12/2021","19","5","Q3-C","30.0 NeC","14492.5686340332","285.28678841909","80.3540493854776","80.1864400053573","42.194038575329","71.4021113945224","32.9065200271045","11.0677412714354","15.9806039804517","4.27115451809136","4.04345161163414","2.1045268627106","1.29031646992421","0.814210392786398","4.19525354927229","2.89113690319916","1.30411664607313","1.81472316358324","1.3800176148922","0.434705548691043","0.531306781733497","","","",""
"2021","12","7","3","30 RAYON","R25 -  14/09/2021","R25 - 04/12/2021","18","5","Q3-C","30.0 NeC","13114.085144043","258.151286240094","76.1603570911472","72.4051339285714","51.0443536584839","79.8835746827423","33.0103087821297","10.6831699246394","22.4872720255257","5.37589921261295","5.08613443235864","2.38674674262107","1.60133168035279","0.785415062268276","4.27021781427412","2.93577474731346","1.33444306696066","2.80614313509442","2.63075918915102","0.175383945943401","0.754913506452032","","","",""
"2021","12","7","3","30 RAYON","R25 - 02/12/21","R25- 02/12/21","44","5","Q3-C","30.0 NeC","14585.7013549805","287.120109725113","77.3352998458076","71.6123737373737","58.1871230834024","81.4564874930958","32.0656503665692","15.6934517188533","20.3761199250468","6.05387412308759","4.21645819444945","6.18413868519253","3.79824038979674","2.38589829539579","5.63565631843488","3.99706524774639","1.63859107068849","3.08521331301179","2.92752463256897","0.157688680442825","0.0274241183378826","","","",""
"2021","12","7","3","30 RAYON ","R 25 - 08/12/2021","R-25 07/12/21","16","6","Q3-C","30.0 NeC","14229.3529052734","280.105376357813","80.5007963125093","78.7691510437458","44.6049798768277","75.6113090428217","34.9207728073038","9.39607028443653","18.187756092836","5.31296120795364","4.06202589708625","2.55106470699361","1.64448799293803","0.906576714055581","4.83507580829643","3.46466914751474","1.37040666078169","2.7127024157012","2.53700925406252","0.175693161638679","0.260025879225244","","","",""
