"Year","Month","Day","Shift","Article Name","Article Number","Lot","MachineName","Group","Clearer Type","Count","Length [km]","Prod [kg]","PEF [%]","AEF [%]","YF [/100km]","YJ [/100km]","YB [/100km]","N [/100km]","S [/100km]","L [/100km]","T [/100km]","C [/100km]","C+ [/100km]","C- [/100km]","CC [/100km]","CC+ [/100km]","CC- [/100km]","J [/100km]","J+ [/100km]","J- [/100km]","PF [/100km]","PC [/100km]","FD [/100km]","PP [/100km]","FL [/100km]"
"2021","12","9","3","30 RAYON","R 25 - 02/12/2021","R25 - 02/12/2021","15","15","Q3-C","30.0 NeC","13367.1005859375","263.131905249827","74.1809633878197","72.6682357259421","52.038210943949","77.8029605832475","36.7095314982688","7.93739819027169","22.7648470245021","3.98740172989143","4.40634074841661","4.57840498816803","2.73806572821813","1.84033925994989","5.15444613864015","3.8527427596512","1.30170337898895","5.26666194717368","4.72802606621273","0.538635880960944","3.20937212405896","","","",""
"2021","12","9","3","30 RAYON","R 25 - 05/12/2021","R25 - 05/12/2021","17","13","Q3-C","30.0 NeC","14426.364654541","283.983560456757","79.6057428561508","79.6057428561508","54.5251710209891","85.3576094523849","33.5566174564719","11.54136915204","22.9233079794573","6.18312389406589","7.06345655611338","2.30134207716354","1.4071459086271","0.894196168536434","4.34620928428174","3.30644629761147","1.03976298667027","4.40166331023749","4.05507564801406","0.346587662223424","0.166362077867244","","","",""
"2021","12","9","3","30 RAYON","R 25 - 24/09/2021","R25 - 04/12/2021","19","5","Q3-C","30.0 NeC","14008.74168396","275.762635715554","78.335437214643","78.335437214643","58.056606249741","85.9320577934812","33.0579298589144","16.0828149367597","20.7870204597622","6.34603749612932","6.0819167004524","3.255110346721","2.24859596319543","1.00651438352557","4.92549591938046","3.64058394041165","1.28491197896882","2.18435036424699","1.87026076938794","0.314089594859044","0.578210390535968","","","",""
"2021","12","9","3","30 RAYON","R25 -  14/09/2021","R25 - 04/12/2021","18","5","Q3-C","30.0 NeC","13628.9165649414","268.285763181638","76.7204861111111","76.7204861111111","72.0380079606292","101.688200481397","33.8104645225687","17.2207378981052","32.3283217635498","7.9390023032594","6.59626901167302","2.8395507313876","1.97374456522808","0.865806166159528","4.72524721192149","3.47056200502929","1.2546852068922","4.11624795945335","3.88145306693551","0.234794892517838","0.388879040732669","","","",""
"2021","12","9","3","30 RAYON","R25 - 02/12/21","R25- 02/12/21","44","5","Q3-C","30.0 NeC","14734.0937957764","290.041220808273","73.6890663536954","72.2733585858586","61.5918435553966","86.6493737379337","32.1906461689527","18.738851796854","23.8833826414811","5.21240064468811","3.9432353835466","6.02005126541452","4.37760210393728","1.64244916147724","3.75998692338179","2.68764408241731","1.07234284096448","2.70800502243562","2.56547844230743","0.142526580128191","0.0339349000305216","","","",""
"2021","12","9","3","30 RAYON ","R 25 - 08/12/2021","R-25 07/12/21","16","6","Q3-C","30.0 NeC","14422.3645324707","283.904817895136","80.1144593253968","80.1144593253968","53.9301304060684","81.5330937831008","33.8224705735152","12.4112796897483","20.2255323212267","6.05309897717892","6.18483881746117","3.05081735390461","2.00383230745098","1.04698504645363","5.3458640451374","3.9175268294457","1.4283372156917","4.04233299392361","3.66791450048986","0.374418493433748","0.658699201411223","","","",""
